Year,University,School,Degree,Hons,Overall_Employment_Rate,Full-Time_Employment_Rate,Gross_Monthly_Mean,Gross_Monthly_Median,Gross_Monthly_25th_Percentile,Gross_Monthly_75th_Percentile
2017,National University of Singapore,Engineering,Industrial and Systems Engineering,No,93.3,89.9,4035,3875,3450,4200
2017,National University of Singapore,Engineering,Materials Science And Engineering,No,94,86,3570,3388,3200,3950
2017,National University of Singapore,Engineering,Mechanical Engineering,No,87.3,82.3,3657,3450,3100,4000
2017,National University of Singapore,Law,Law,No,95.8,92.3,5121,5000,4500,5600
2017,National University of Singapore,Sciences,Applied Science,Yes,82.1,50,3187,3085,2800,3200
2017,National University of Singapore,Sciences,Science,No,76.9,54.5,3214,3082,2800,3400
2017,National University of Singapore,Sciences,Science,Yes,85.9,69.3,3435,3300,3000,3700
2017,National University of Singapore,Sciences,Pharmacy,No,99.1,94.5,3616,3600,3500,3800
2017,National University of Singapore,Business,Business Administration,No,94.9,87.3,4031,3500,3000,4333
2017,National University of Singapore,Business,Business Administration,Yes,98.2,93.6,4388,3800,3450,4782
2017,National University of Singapore,Business,Accountancy,No,97.2,94.4,3473,3025,3000,3600
2017,National University of Singapore,Business,Accountancy,Yes,100,100,3744,3125,3000,4023
2017,National University of Singapore,Computing and Information Systems,Computer Science,No,93.5,89.4,4628,4285,3656,5000
2017,National University of Singapore,Computing and Information Systems,Information Systems,No,94.5,91.8,4192,4000,3550,4592
2017,National University of Singapore,Computing and Information Systems,Business Analytics,No,97.6,97.6,4203,4000,3500,4766
2017,National University of Singapore,Design & Environment,Architecture,No,91.3,86.4,4079,4000,3780,4300
2017,National University of Singapore,Design & Environment,Industrial Design,No,93.3,60,3079,2920,2600,3200
2017,National University of Singapore,Design & Environment,Project and Facilities Management,No,90.8,81.7,3162,3000,2900,3300
2017,National University of Singapore,Design & Environment,Real Estate,No,93.8,88.7,3168,3000,2800,3300
2017,National University of Singapore,Medicine,Bachelor of Medicine And Bachelor Of Surgery,No,100,100,4882,5000,4500,5305
2017,National University of Singapore,Medicine,Nursing,No,97.4,97.4,3328,3400,3200,3450
2017,National University of Singapore,Medicine,Nursing,Yes,91.8,89.8,3462,3500,3300,3650
2017,National University of Singapore,Arts & Social Sciences,Music,No,73.3,26.7,2500,2225,2050,2950
2017,National University of Singapore,Arts & Social Sciences,Arts,Yes,93.5,76.6,3956,3500,3075,4000
2017,National University of Singapore,Sciences,Science,Yes,91.7,75,4362,4083,3600,4875
2017,National University of Singapore,Multidisciplinary,Computer Engineering,No,89.4,84.7,4131,3900,3588,4500
2017,National University of Singapore,Multidisciplinary,Environmental Studies,No,88.7,62.3,3419,3300,3000,3600
2017,Singapore Management University,Accountancy,Accountancy,No,98,96.6,3646,3000,2920,3600
2017,Singapore Management University,Accountancy,Accountancy,Yes,97.8,97.8,4089,3200,3000,4645
2017,Singapore Management University,Business,Business Management,No,93.3,85.7,3995,3500,3050,4362
2017,Singapore Management University,Business,Business Management,Yes,95.8,92,4504,4000,3300,5000
2017,Singapore Management University,Economics,Economics,No,91.3,82.6,4143,3700,3300,4583
2017,Singapore Management University,Economics,Economics,Yes,93.2,90.5,4737,4100,3600,5113
2017,Singapore Management University,Computing and Information Systems,Information Systems,No,95.1,91.3,4014,4000,3550,4500
2017,Singapore Management University,Computing and Information Systems,Information Systems,Yes,96.1,94.1,4305,4334,4000,4750
2017,Singapore Management University,Arts & Social Sciences,Social Sciences,No,91.3,78,3493,3300,3000,3750
2017,Singapore Management University,Arts & Social Sciences,Social Sciences,Yes,87.9,81.8,3938,3630,3300,4000
2017,Singapore Management University,Law,Law,No,97.6,94,4941,5000,4000,5840
2017,Singapore Management University,Law,Law,Yes,97.9,97.9,5287,5600,4200,6000
2017,Singapore Institute of Technology,DigiPen Institute of Technology,Game Design,No,96.2,92.3,3067,3000,2800,3200
2017,Singapore Institute of Technology,DigiPen Institute of Technology,Digital Arts & Animation,No,88.5,69.2,2876,2875,2700,3000
2017,Singapore Institute of Technology,DigiPen Institute of Technology,Computer Science & Game Design,No,100,100,3291,3250,2900,3600
2017,Singapore Institute of Technology,DigiPen Institute of Technology,Computer Science in Real-Time Interactive Simulation,No,96.9,90.6,3904,3800,3558,4140
2017,Singapore Institute of Technology,The Glasgow School of Art,Communication Design,Yes,90.7,68.5,2949,2700,2500,3200
2017,Singapore Institute of Technology,The Glasgow School of Art,Interior Design,Yes,92.3,87.2,2841,2700,2500,3000
2017,Singapore Institute of Technology,Newcastle University,Chemical Engineering ,Yes,77.3,62.1,3290,3255,2975,3600
2017,Singapore Institute of Technology,Newcastle University,Electrical Power Engineering,Yes,94.4,88.9,3269,3200,3000,3450
2017,Singapore Institute of Technology,Newcastle University,Marine Engineering,Yes,96.2,88.5,3541,3500,3000,4000
2017,Singapore Institute of Technology,Newcastle University,Mechanical Design & Manufacturing Engineering,Yes,90.5,85.7,3145,3000,2800,3350
2017,Singapore Institute of Technology,Newcastle University,Naval Architecture,Yes,95.5,95.5,3537,3300,3200,3500
2017,Singapore Institute of Technology,Newcastle University,Offshore Engineering,Yes,100,86.7,3866,3300,3300,3950
2017,Singapore Institute of Technology,Newcastle University,Food & Human Nutrition,Yes,97.7,79.1,2980,2700,2475,3200
2017,Singapore Institute of Technology,Technische Universität München,Chemical Engineerin,No,84.5,74.1,3301,3200,3000,3375
2017,Singapore Institute of Technology,Technische Universität München,Electrical Engineering & Information Technology,No,82.8,82.8,3591,3400,3000,4000
2017,Singapore Institute of Technology,The Culinary Institute of America,Culinary Arts Management,No,87.9,54.5,2598,2300,2200,3259
2017,Singapore Institute of Technology,Trinity College Dublin,Occupational Therapy,No,100,97.1,3258,3300,3020,3450
2017,Singapore Institute of Technology,Trinity College Dublin,Physiotherapy,No,100,96.8,3489,3400,3300,3500
2017,Singapore Institute of Technology,University of Glasgow,Aeronautical Engineering,Yes,81.3,65.6,3481,3200,2950,3700
2017,Singapore Institute of Technology,University of Glasgow,Aerospace Systems,Yes,80,52.5,3280,3125,2625,3650
2017,Singapore Institute of Technology,University of Glasgow,Mechanical Design Engineering,Yes,96.6,87.9,3670,3200,3000,3700
2017,Singapore Institute of Technology,University of Glasgow,Mechatronics,Yes,94.6,86.5,3595,3400,3000,4000
2017,Singapore Institute of Technology,University of Glasgow,Computing Science,Yes,95.8,85.9,3724,3600,3300,4200
